Year,shadow,avgtemp_feb,NEavgtemp_feb,MWavgtemp_feb,avgtemp_march,NEavgtemp_march,MWavgtemp_march,02 February Average Temperature (Pennsylvania),(03) March Average Temperature (Pennsylvania)
1932,1,36.7,25.7,41,37.36,28.1,36.3,32.6,30.8
1933,1,29.59,25.8,32.3,41.83,30.1,41.5,28.4,33.8
1934,0,34.32,10.4,27.2,42.78,29.2,38.8,15.2,32.1
1935,1,36.01,21.1,35,43.61,34.1,48.8,25.8,40
1936,1,25.23,15.6,24,43.43,37.4,46.1,18.3,39.4
1937,1,31.73,26.3,32.2,38.84,27.6,38.2,28.5,31.4
1938,1,36,26,40.2,45.01,35,49.6,31.4,40.1
1939,1,29.98,24.9,34,42.51,29.3,44.4,30.2,35.6
1940,1,33.85,22.3,31.9,41.52,27,39.4,26.3,29.5
1941,1,33.53,22,29.4,39.2,26.7,36.8,23.6,28.9
1942,2,30.74,20.1,29.7,41.31,35.7,44.1,23.2,37.8
1943,,36.28,23.9,35.4,38.5,30.5,38.5,27.6,34.7
1944,1,34.5,22.4,36.3,38.5,28.9,39.8,27.5,32.7
1945,1,35.28,23.6,33.9,45.54,41.6,51.9,27.1,46.2
1946,1,34.88,21.4,36.5,46.78,41.6,52.4,27.4,45.3
1947,1,31.41,20.5,25.7,38.75,29.7,34.8,21.7,30.3
1948,1,31.62,19.7,32.9,38.71,32.7,43.4,25.6,38.3
1949,1,31.91,28,36.3,40.77,33.5,42,32.9,36.8
1950,0,35.55,21.6,34.7,38.84,27.3,38.7,27.4,30.8
1951,1,34.54,26,33.6,38.55,33.4,40.4,28.9,36.1
1952,1,35.46,26.4,37.5,37.69,32,40.6,30.6,34.6
1953,1,35.87,28,37.4,43.75,34.8,44.5,31.8,37.9
1954,1,41.41,30,41.1,39.25,32.2,40.2,33.6,35
1955,1,31.05,24.2,33.4,40.06,32.3,43.1,27.3,37.2
1956,1,32.27,25.6,36.1,40.75,27.9,42.1,29.8,32.9
1957,1,38.07,27.3,38.6,41.27,33.6,41.5,31.4,36.1
1958,1,31.98,17.9,24.5,37.67,33.3,37.3,20.4,33.7
1959,1,32.49,20.6,33.7,41.45,30.6,41.4,27,34.1
1960,1,30.52,26.9,29.8,35.91,24.2,28.5,28.6,24.5
1961,1,37.42,24.6,37.3,43.47,32.6,45.1,28.9,37.1
1962,1,34.92,19.8,34.8,37.9,32.7,38.6,25.4,34.2
1963,1,34.12,16.2,26.3,43.72,33.1,46,18.4,37.5
1964,1,31.77,21.6,30.9,38.82,33.6,41.4,23.6,36.9
1965,1,32.52,22.1,31.8,35.44,30.2,35.1,26.2,32.1
1966,1,31.24,23.2,31.9,43,34.1,44.1,26.5,37.5
1967,1,32.88,18.2,29.1,43.63,29.1,45.6,22.6,34.4
1968,1,32.92,18.4,27.3,43.56,34.8,43.8,22.3,38.4
1969,1,32.81,23.7,33,36.03,30.1,36.2,26.7,32.7
1970,0,35.35,22.5,31.3,38.5,29.8,38.9,25.3,31.6
1971,1,33.48,23.9,31.8,39.65,29.9,38.9,27.5,32.5
1972,1,33.55,20.1,31.5,44.04,29.3,41.9,23.2,33.1
1973,1,33.58,21.8,32.7,44.29,39.2,49.6,25.5,42.9
1974,1,34.74,21.7,34.5,44.38,32.5,46.3,26.2,36.9
1975,0,32.76,24.7,33.5,38.7,30.4,38.6,28.8,33.7
1976,1,39.56,28.8,41.1,42.31,35.2,47.9,33.5,40.8
1977,1,36.03,23.2,31.5,43.18,38.4,47.4,26.1,41.2
1978,1,27.99,15.6,20.3,41.31,28.8,37.3,17.2,31.9
1979,1,28.13,13.9,22.9,42.06,37,43.7,16.4,39.4
1980,1,32.85,20,26.6,39.36,31,38.5,23,33.3
1981,1,36.59,30.3,34.1,42.85,33,41.7,30.7,34.1
1982,1,32.59,22.9,30.4,42.03,31.5,43.5,26.9,34.9
1983,0,36.86,26.2,35.9,42.4,35.7,43.5,29.8,38.7
1984,1,37.38,31.2,38.6,40.08,26.6,36.8,33.8,29.5
1985,1,30.87,24.8,28.4,43.48,34.5,46.3,27.1,38.3
1986,0,35.85,22.3,34.3,46.18,34.7,45,26.7,38
1987,1,37.38,21.8,36.9,42.57,35.5,45.8,26.8,39
1988,0,33.69,23.7,30.4,42.4,33.2,43,26.8,37.2
1989,1,29.17,23,28.6,42.67,31.8,44,27.1,36.7
1990,0,36.7,28,39.9,44.74,35.7,46.6,33.9,40.2
1991,1,39.81,28.7,37.4,43.32,36.1,46.1,32.4,39.5
1992,1,39.7,25.7,39.5,44.71,30,44,30.9,34.5
1993,1,31.14,17.5,30.5,41.79,29.8,39.5,23.5,32.8
1994,1,31.87,19.4,32.4,44.51,31.6,42.9,24.1,33.8
1995,0,37.36,20.6,32.6,43.34,36.2,45.6,23.9,39.7
1996,1,35.69,23.6,33.4,39.02,29.7,37.2,27,31.8
1997,0,36.05,28.6,37.7,44.67,32.1,45.8,33,37.6
1998,1,38.71,31.6,40.9,41.34,36.2,42.9,35.8,39.7
1999,0,39.49,28.2,39.5,42.8,33,39.8,31.7,34.2
2000,1,39.78,27.2,40.1,46.04,39.1,47.7,31.6,42.6
2001,1,33.98,26,36.1,41.49,30.2,39.3,31.5,33.3
2002,1,36.39,29.7,36.8,39.54,34.7,41.5,33.9,38.2
2003,1,32.79,20,30.2,43.3,32.9,44.8,23.8,37.2
2004,1,33.57,24,33.1,47.41,35.9,47,27,39.5
2005,1,37.94,26.2,38.1,42.31,29.7,40.8,30.1,32.3
2006,1,34.83,26.2,33.7,42.62,34,43.8,29.8,37
2007,0,32.41,18,26.1,47.66,32.7,50.1,20.1,37.4
2008,1,34.7,25.4,32.1,41.86,31.6,42,27.7,35.6
2009,1,36.77,26.2,35.9,42.87,34.1,45.7,29.6,38.2
2010,1,31.8,25.9,28.2,43.57,39.6,44.6,25.8,42
2011,0,33.04,24.1,34.4,43.07,33,44.2,28.6,36.3
2012,1,37.51,30.6,38.6,50.41,43.4,56.3,34.3,47.7
2013,0,34.77,25.3,33.4,40.91,32.7,37.3,27.4,33.9
2014,1,32.13,21,27.1,40.51,26,38,22.8,30.3
2015,1,32.99,12.1,23.4,45.39,27.8,41.6,16.1,31.6
2016,0,39.47,28.1,36.9,47.5,38.8,49.5,30.8,43.4
